goal,steps,branching_step,options,op1_ra,op2_ra,type
walk to work!,"[decided to walk to work!, 
plan the walk with enough time, 
dress in work attire, 
put on comfortable shoes, 
walk out of house, 
lock the door]",plan the walk with enough time,"take the shortest route
take the route that is easy for walking",[2],"[0, 7]",golden
meet a girl,"[decided to meet a girl, 
download dating apps, 
create an account on dating apps, 
message women on dating app, 
arrange a date with someone, 
go on a date with a woman]",create an account on dating apps,"fill the profile as accurate as possible
only put in the good parts of yourself in the profile",[6],"[0, 2, 4, 7]",golden
make an impression on a girl at school,"[decided to make an impression on a girl at school, 
buy the girl presents, 
dress well to school, 
talk to the girl, 
present chocolate to the girl, 
buy the girl chocolate]",buy the girl presents,"ask the friends of the girl for gift ideas
ask the girl herself for what she likes",[4],"[7, 10]",golden
enter a relationship,"[decided to enter a relationship, 
turn on computer, 
post profile on online dating website, 
wait for possible matches, 
respond to match, 
go on a date with match, 
sleep with match]",go on a date with match,"go on date with only one match at a time
date more than one matches simultaneously",[0],[5],golden
walk to cashier with makeup selections,"[shop for makeup, 
look through make up, 
grab some makeup, 
put makeup on basket, 
walk out of makeup aisle, 
locate checkout area]",grab some makeup,"ask the salesman if you can try the makeup before buying it
search online to see the images of people using those makeup","[6, 7]",[10],golden
make a new salad,"[decided to make a new salad, 
look for salad recipes online, 
choose a salad recipe, 
gather the ingredients, 
gather the kitchen tools, 
put the ingredients in a bowl, 
mix up the ingredients, 
add salad dressing]",choose a salad recipe,"choose a salad that you have tried before
choose a salad that you have never tried",[7],"[5, 9]",golden
learn how to play tennis,"[decided to learn how to play tennis, 
look up the rules for tennis, 
go buy a tennis racket, 
buy some tennis shoes, 
find a tennis coach, 
practice with tennis coach]",go buy a tennis racket,"go to a sports supply shop and buy the racket
go to ebay.com to see if there is any cheap, used racket",[7],"[1, 5]",golden
learn a new instrument,"[decided to learn a new instrument, 
go to store to buy the instrument, 
take lessons from teacher, 
practice lessons at home, 
get new music to practice more, 
get feedback from friends]",go to store to buy the instrument,"get an used instrument at the store
buy a new one",[1],"[5, 7]",golden
select shade of yellow paint,"[head to home improvement store, 
park the car, 
get out car head inside store, 
enter and go to paint aisle, 
look around for yellow paint, 
grab paint pay for paint]",look around for yellow paint,"ask a salesman where is the yellow paint
check the store map or mobile app of the store for location of yellow paint","[0, 2, 7]",[10],golden
get a nice haircut,"[leave store and travel to barber, 
leave the car, 
enter the barber shop, 
ask barber for haircut, 
tell barber the style wanted, 
have a chit chat]",tell barber the style wanted,"ask the barber for hair style suggestions
show the barber pictures of the ideal hair style",[6],[2],golden
do an interview for the job,"[apply for the jobs, 
get called back about the job, 
make an appointment for a job interview, 
dress for the interview, 
walk to the car, 
drive to the job interview]",dress for the interview,"dress formally
dress casually",[4],"[0, 5, 8]",golden
try out for lacrosse,"[decided to try out for lacrosse, 
find out when tryouts are, 
practice for tryouts, 
improve lacrosse skills, 
stay after school for tryouts, 
go to the tryouts]",improve lacrosse skills,"improve lacrosse skills by learning from online tutorials
ask players on the school lacrosse team for suggestions on how to improve","[5, 10]",[6],golden
move belongings to new rural house,"[close escrow on new home, 
pack belongings into boxes, 
rent a moving truck, 
park back of truck in front of the door, 
load belongings into moving truck, 
drive truck to new house, 
move boxes into new house]",load belongings into moving truck,"load belongings with only one's hands
borrow or rent a moving cart to help loading",[8],"[0, 7]",golden
get in better shape,"[decided to get in better shape, 
make a list of healthy foods, 
write down an exercise regime, 
tape the paper with the regime to the fridge, 
do exercises off the list each day, 
track fitness progress with an app, 
buy the healthy foods each week, 
modify regime and diet based on results]",buy the healthy foods each week,"order healthy foods from wholefoods.com and get them delivered to you
go to grocery store every other day to get fresh foods",[0],[7],golden
practice piano with teacher,"[find the instructor, 
greet the instructor, 
look for a piano, 
walk towards piano, 
sit down at piano, 
put hands on piano]",find the instructor,"find a instructor by searching online
ask friends or families if they know any piano instructor","[5, 10]",[0],golden
graduate from college and honors program,"[take senior classes, 
finish senior classes with a passing grade, 
make to have met all the requirements to graduate, 
submit an application to graduate, 
order graduation invitations for family and friends, 
order cap and gown to wear at the ceremony, 
attend graduation ceremony in cap and gown, 
receive diploma in the mail later]",order cap and gown to wear at the ceremony,"order cap and gown from school bookstore
order cap and gown from a third-party, such as amazon.com or a local department store","[0, 10]","[1, 5, 6]",golden
make a new skirt,"[decided to make a new skirt, 
decide on pattern for skirt, 
purchase the material, 
cut out the pattern and material, 
pin the skirt together, 
sew the skirt]",cut out the pattern and material,"buy a sewing machine to cut the material
call local community center to see if a sewing machine is available","[5, 7]",[10],golden
locate the fertilizer,"[browse for a bit, 
find a salesperson, 
look down the aisles, 
locate the fertilizer, 
look at the signs above aisles, 
ask the salesperson, 
go where the salesperson has directed]",ask the salesperson,"ask for a specific brand/type of fertilizer
ask for general suggestions for fertilizer",[6],"[5, 9]",golden
meet up with ghost hunters,"[travel to ghost hunt location, 
park the vehicle, 
turn off the vehicle, 
exit the car, 
walk to ghost hunter location, 
enter the location, 
greet the others that are there]",park the vehicle,"park along the street
park in a gated garage",[8],[7],golden
stir the mixture of water and kool-aid,"[fill the pitcher with water, 
find spoon to stir, 
grab spoon with hand, 
bring spoon to pitcher, 
place spoon in pitcher, 
move arm in circles to stir]",move arm in circles to stir,"do not stop stirring until fullly mixed
during stirring, stop every once in a while to check if the mix is ready","[0, 2]",[7],golden
air out the musty basement,"[decided to air out the musty basement, 
put breathing mask on, 
put goggles on, 
go down stairs to get to basement, 
open the windows, 
go back upstairs]",put breathing mask on,"put on a reusable mask
put on an n-95 single-use mask",[3],[7],golden
greet the financial adviser,"[drive to appointment, 
walk to the financial advisor's office, 
walk to the front desk, 
check in at front desk, 
wait for the financial advisor's office, 
greet the financial adviser, 
enter the financial advisor's office]",wait for the financial advisor's office,"scrolling through social media during the wait time
go over potential topics to be discussed later","[0, 3]","[4, 7]",golden
place the skeleton on the counter,"[take the skeleton to the cashier, 
get close to counter, 
lift skeleton up, 
move skeleton towards counter, 
stop when the skeleton is directly above of the counter, 
drop the skeleton]",lift skeleton up,"life the skeleton on one's own
ask the cashier for help",[10],"[0, 7]",golden
buy milk from the store,"[decided to buy milk from the store, 
decide which store to go to, 
drive to the store, 
go into the store, 
look for the dairy section, 
find the milks in the refrigerators, 
decide which milk to buy, 
take milk and put in cart]",decide which store to go to,"go to the closest store
go to the store with the most options",[0],"[5, 4, 7]",golden
eat breakfast food,"[put on clothes, 
decide what he/she wants to eat, 
get ingredients out of the cabinet and refrigerator, 
prepare and cook the ingredients, 
put the finally prepared food on a plate, 
get utensils for eating from the drawer]",decide what he/she wants to eat,"decide on the foods based on calories in the food
decide on the foods based on time-consumption of preparation",[3],[2],golden
start taking a lunch to school,"[decided to start taking a lunch to school, 
buy ingredient to prepare for lunch, 
prepare and cook meal at home, 
pack lunch once finish cooking, 
place lunch in refrigeration, 
bring lunch to school]",prepare and cook meal at home,"prepare meals for a few days all at once
prepare only one meal at a time",[4],"[0, 5, 8]",golden
buy new door,"[go to store, 
drive to store, 
get out of car, lock the doors, 
walk towards enterance, 
walk into store, 
walk towards door department]",go to store,"drive to store
call an uber or lyft to the store","[1, 4]",[8],golden
take the groceries to the kitchen,"[unload the groceries from the car, 
close car up, 
lock the car, 
lift groceries up to holding position, 
walk towards house, 
open door to house, 
locate kitchen in house, 
walk into kitchen]",unload the groceries from the car,"unload all the groceries all at once
unload only the portion of the groceries that one is able to carry",[2],"[7, 9]",golden
lace up roller skates,"[put on skates, 
check the fit, 
wiggle feet to ensure a good fit, 
make sure wheels spin freely, 
grab right lace, 
grab left lace]",check the fit,"check the fit by trying to roll for a few steps
check the fit by wiggle feet back and forth",[7],[9],golden
have some drinks,"[decided to have some drinks, 
call friends and arrange to meet at a bar, 
take a shower, 
get dressed up, 
make sure id and money are in handbag, 
drive to the bar, 
meet up with friends]",call friends and arrange to meet at a bar,"call friends on group chats from social media
call each friend one by one through phone","[0, 2]",[7],golden
play a game during recess,"[decided to play a game during recess, 
find out who wants to play at recess, 
find out what everyone wants to play, 
agree upon a game and get the needed materials, 
meet outside on the playground at recess, 
pick teams and get ready to start the game]",find out what everyone wants to play,"start a poll in the social media
ask everyone just call out what they want",[7],[0],golden
get a copy of song on paper,"[pick an audition song, 
look up the song online, 
find the lyrics to the song, 
find the print button, 
click the print button, 
walk over to the printer]",pick an audition song,"pick a song that you are familiar with
pick a song that you have never sing before",[7],"[5, 9]",golden
take a writing class,"[search the internet for popular genres, 
narrow down the options to three, 
make a list of pros about each one, 
make a list of cons about each one, 
decide on one, 
sign up for a class]",sign up for a class,"call local colleges for class offerings
find online for available classes in town",[7],"[0, 5]",golden
take a cheap vacation,"[decided to take a cheap vacation, 
drive to hiking front, 
pack hiking backpacks, 
hike out the trails, 
camp out overnight, 
hike the trails back]",pack hiking backpacks,"bring process food for every meal
bring raw foods and some cookware to cook at the campsite","[0, 7, 8]","[3, 6]",golden
go to subway for lunch,"[decided to go to subway for lunch, 
get the car keys, 
put the address on the maps app, 
drive to the subway, 
wait in line, 
decide on what to order]",decide on what to order,"order the daily special
order the same food that you had last time","[5, 9]",[7],golden
eat roast beef for dinner,"[decided to eat roast beef for dinner, 
look for the recipe online, 
gather the ingredients, 
gather the equipment, 
cook the roast, 
set the table, 
set the food on the table]",gather the ingredients,"order same-day delivery for the ingredients
drive to the grocery store on one's own and buy the ingredients","[0, 2, 8]","[4, 7]",golden
visit the desert,"[decided to visit the desert, 
pack bags for trip, 
purchase a plane ticket, 
arrive at the airport, 
get on plane, 
get off the plane at destination]",purchase a plane ticket,"purchase a plane ticket to a major city but far from the desert
purchase a plane ticket to a small city but right next to the desert","[5, 7]",[4],golden
walk to ghost hunter location,"[exit the car, 
look for location, 
find the location, 
turn towards location, 
put left foot forward, 
put right foot forward]",look for location,"ask someone to look for the location with you
look for the location on your own",[0],[10],golden
speak a lot of languages,"[decided to speak a lot of languages, 
decide on what languages to learn, 
purchase books to learn each language, 
wait for delivery, 
open and unpack books, 
read through each one]",purchase books to learn each language,"request a sample before buying an e-book
order a paper copy of the language book from amazon","[1, 7]",[0],golden
read about the heatwave in the paper,"[decided to read about the heatwave in the paper, 
stand up on feet, 
walk to paper, 
pick up paper, 
open pages of paper, 
scan headlines for heatwave]",scan headlines for heatwave,"only looking at the social news section
read through all pages for news about heatwave",[0],"[5, 7]",golden
have a cake,"[decided to have a cake, 
go to the store, 
pick out ingredients, 
pay for ingredients, 
drive back home, 
bake the cake]",pick out ingredients,"pick ingredients that is just enough for one cake
pick ingredients that is enough for a few cakes",[1],[4],golden
buy some bait,"[compare fishing poles, 
go to the bait counter, 
ask what bait is available, 
look over the options, 
decide on bait to use, 
purchase the bait]",decide on bait to use,"ask the owner for bait suggestions
search online for reviews and advice for bait",[0],"[5, 10]",golden
activate and download the game,"[purchase and get key for game, 
pick controller up, 
turn console on, 
go to store menu, 
enter the code, 
start game download]",purchase and get key for game,"pay the full price and get the game right away
wait for game sales and get the game with a discounted price","[2, 10]",[1],golden
visit great adventures water park,"[decided to visit great adventures water park, 
get family in car, 
fill up gas tank, 
set gps to park, 
drive to the park, 
buy ticket enter park]",set gps to park,"use the gps service on the phone
get a professional gps nevigation system",[8],[7],golden
set up table,"[decide to set up table, 
open door to garage, 
walk into garage, 
locate the table, 
carry table inside, 
lay table on floor, 
lift up legs on table, 
flip table over]",carry table inside,"use a moving cart to move the table
lift the table up and move the table","[0, 7]",[8],golden
buy private home,"[decided to buy private home, 
look online for a real estate agent, 
find the phone number, 
call the agent, 
look at homes, 
decide on a home]",look at homes,"look at homes with friends or partners
look at homes on your own",[7],[10],golden
start lifting weights to build muscle,"[decided to start lifting weights to build muscle, 
go to the gym, 
go into the locker room, 
put on workout attire, 
head to the bench press machine, 
do bench presses]",go to the gym,"go to the gym on your own
find someone in your community or social media to go with you","[0, 10]",[3],golden
sign up on the tryout list,"[decided to sign up on the tryout list, 
head to the gym, 
get a gym membership, 
train for sports, 
sign up on the tryout list, 
walk into gym, 
talk to receptionist]",train for sports,"get a personal trainer
join a group training session",[6],[1],golden
start a diet,"[decided to start a diet, 
decide on the weight and fitness goal desired, 
find how many daily calories are allowed to reach goal, 
plan meals that fit inside the days calorie goals, 
drive to store, 
purchase ingredients for planned meals, 
drive home from store, 
prep the meals for the day with the purchased ingredients]",plan meals that fit inside the days calorie goals,"make a plan that prefers delicious foods over convenient foods
make a plan that prefers convenient foods over delicious foods","[3, 9]","[0, 2]",golden
fuel a car,"[decide to fuel a car, 
look for a gas station, 
pull into the gas station, 
choose a pump to use, 
pull along side the pump, 
open gas cap, 
select octane level of gas, 
put nozzle into tank]",select octane level of gas,"select the cheapest gas option
select the premium gas option",[1],[7],golden
practice singing the song,"[look up the lyrics, 
turn on printer, 
do vocal warm ups, 
sing the lyrics everyday using the print out, 
practice singing the song, 
print the lyrics onto a sheet of paper, 
place lyrics in front of person]",practice singing the song,"practice singing with a friend
practice on one's own","[6, 7]",[10],golden
pay for adoption fee,"[meet favorite animals, 
discuss costs with clerk, 
play with animals, 
select adoption choice, 
proceed to register, 
pay fee to cashier]",select adoption choice,"adopt a young animal (e.g. puppy or kitty)
adopt an adult animal (e.g. adult dog or cat)",[3],"[0, 7, 9]",golden
go on a road trip,"[decided to go on a road trip, 
plan a route, 
confirm safety status of vehicle, 
fill vehicle with gasoline, 
begin driving towards destination, 
exit the house, 
put supplies for trip in vehicle, 
enter the vehicle]",confirm safety status of vehicle,"bring the vehicle to a machinist
search for online tutorials for a checklist",[7],"[0, 1]",golden
get some lunch,"[decided to get some lunch, 
walk to the kitchen, 
open the fridge, 
locate the leftovers, 
pull out leftovers, 
microwave the leftovers]",microwave the leftovers,"combine the leftovers into one plate and microwave at the same time
microwave each dish on itself","[0, 2]",[3],golden
re arrange office,"[decide to re arrange office, 
re-arrange location of plants, 
move chair from behind desk, 
move desk from current position, 
push desk and couch to new location, 
move couch from along wall, 
put chairs back in position, 
move bookcase to new location]",push desk and couch to new location,"hire some workers to move it
ask colleagues for help",[10],[1],golden
purchase books on gardening,"[decided to purchase books on gardening, 
take out a computer, 
turn the computer on, 
go to a gardening books website, 
compare prices of gardening books, 
compare reviews and star ratings of gardening books]",compare prices of gardening books,"compare prices for only new books
compare prices for both new books and used books",[7],"[1, 5]",golden
tell other students about the pizza party,"[come to an agreement, 
ask teacher to make an announcement, 
walk to the center of the classroom, 
get classes attention, 
notify class of time and place of pizza party, 
answer any questions]",get classes attention,"make an unexpectedly loud noise
ask the teacher to get the attention from the students for you",[10],[7],golden
go to college to get a degree,"[decided to go to college to get a degree, 
go to the high school guidance counselor, 
discuss higher education options, 
take home college applications, 
fill out college applications, 
compare college acceptance letters, 
decide on a college]",fill out college applications,"fill out applications on your own
ask your parents for help for applications",[10],[7],golden
cook the food,"[put groceries away, 
close refrigerator door, 
look for recipes for the ingredients, 
decide on a recipe, 
take groceries out of fridge, 
cut up the vegetables, 
marinade the meat]",look for recipes for the ingredients,"google some recipes
ask your friends or families for recipe recommendations","[5, 10]","[0, 7, 8]",golden
buy a new bicycle,"[decided to buy a new bicycle, 
go to the bicycle shop, 
look and see what bicycle is the best, 
select the bicycle, 
purchase the bicycle, 
look at the bicycles that are offered]",look and see what bicycle is the best,"go to a cycling shop and get help
use the internet to search for the best bicycle for me","[4, 7]","[0, 2, 5]",silver
learn how to rock climb,"[decided to learn how to rock climb, 
look online for rock climbing gyms, 
sign up for beginner's rock climbing, 
drive to the rock climbing gym, 
listen to the instructor, 
get a partner, 
walk towards the rock climbing wall, 
climb first rock climbing route]",get a partner,"find a friend to learn with
find a partner on a site like meetup",[7],[5],silver
learn how to play the drums,"[decided to learn how to play the drums, 
decide to learn how to play drums, 
drive to music store, 
buy drum set, 
drive home from music store, 
set up drum set in basement, 
watch videos about learning to play the drums]",buy drum set,"buy a drum set from a music store
buy a drum set online and have it delivered to you",[7],"[0, 1, 5]",silver
find a new job,"[decided to find a new job, 
go online on the web, 
search for jobs sites, 
browse sites for jobs, 
apply for interviews, 
wait to be called in]",browse sites for jobs,"find a job on the internet
ask your friends for some advice","[5, 10]","[0, 6, 7, 8]",silver
learn figure drawing,"[decided to learn figure drawing, 
view tutorial online, 
obtain blank paper, 
place pencil tip to paper, 
learn figure drawing, 
find a pencil, 
locate an eraser]",find a pencil,"buy a new pencil
find a pencil in your school's art room","[5, 7, 8, 10]",[1],silver
have a sleepover party,"[decided to have a sleepover party, 
find some free time in the future, 
ask friends to come over for a sleepover, 
make a list of what to get for the sleepover, 
drive to the store for supplies, 
buy the supplies, 
make some food, 
get out supplies]",ask friends to come over for a sleepover,"call each friend and ask if they would like to come over for a sleepover
send out a party invite or an email",[7],"[0, 2]",silver
have any pets,"[decided to have any pets, 
purchase a pet carrier or leash, 
go to an animal shelter, 
pick out a pet, 
pay the employee, 
take the pet home]",purchase a pet carrier or leash,"buy a pet carrier from a local pet store
buy a pet carrier from an online store",[7],"[0, 5]",silver
have a nerf gun war,"[decided to have a nerf gun war, 
take nerf gun ammo out of the closet, 
take nerf guns out of the closet, 
pass out the nerf guns and ammo, 
scatter in all directions, 
hide behind trees and buildings, 
shoot at anyone passing by, 
collect the spent toys and put away]",shoot at anyone passing by,"only shoot at people in front of you
shoot at anyone within a distance of 1,000 feet","[0, 7, 9]",[5],silver
learn to play the piano,"[decided to learn to play the piano, 
find a piano teacher, 
call the piano teacher, 
agree on a plan to work with the teacher, 
have a first lesson, 
continue with lessons until playing becomes second nature]",find a piano teacher,"go online and look for a piano teacher
go to a music store and ask for a piano teacher","[0, 5]",[7],silver
get a new puppy,"[decided to get a new puppy, 
make sure the house is puppy proof, 
decide where to purchase the puppy, 
go to the shelter, 
select the puppy, 
bring puppy home]",decide where to purchase the puppy,"buy the puppy from a pet store
buy a puppy online",[7],"[0, 5]",silver
escape from prison,"[decided to escape from prison, 
get the plans for the prison, 
watch the guards to learn the schedule, 
run through the tunnel and keep running, 
escape from prison, 
steal a spoon from the cafeteria, 
dig a tunnel towards nearest place in the fence]",run through the tunnel and keep running,"run through the tunnel without stopping
hide in the bathroom and wait for the guards to pass by","[2, 10]","[0, 7]",silver
dj electronic music,"[decided to dj electronic music, 
log onto the internet, 
research how to become an electronic music dj, 
buy djing equipment, 
practice djing electronic music, 
apply for a job djing electronic music]",buy djing equipment,"buy a new computer
buy a used computer","[5, 7]",[1],silver
get rid of some mice,"[decided to get rid of some mice, 
drive to the store, 
buy some mouse traps, 
drive home with mouse traps, 
research best places to set mouse traps, 
set the traps in idea spaces]",research best places to set mouse traps,"research best places to set mouse traps yourself
find a company that specializes in setting mouse traps",[1],"[0, 7, 9]",silver
try to make bread from scratch,"[decided to try to make bread from scratch, 
find recipe for bread, 
purchase ingredients from store, 
unpack ingredients and open packages, 
follow recipe until ingredients combined, 
bake dough as long as recipe calls for]",find recipe for bread,"find a recipe online
ask around in the community","[5, 7, 10]",[6],silver
eat some french fries,"[decided to eat some french fries, 
drive to the store, 
purchase frozen french fries, 
drive home from the store, 
pre-heat the oven, 
cook the french fries]",purchase frozen french fries,"buy frozen french fries from a grocery store
buy frozen french fries from an online food store",[7],"[0, 2, 5]",silver
purchase a car,"[decided to purchase a car, 
drive to a dealership, 
go online to research cars, 
get financed for the car, 
purchase a car, 
talk to a salesman about cars, 
test drive a nice car]",purchase a car,"buy a new car
buy a used car","[5, 7]",[1],silver
take the sats in order to get into college,"[decided to take the sats in order to get into college, 
go to the room giving the test, 
sit down at a desk, 
pick up a number two pencil, 
fill out the entirety of the test, 
hand the test to the teacher]",go to the room giving the test,"take a bus
call an uber",[1],"[2, 6]",silver
get a skin peel at a dermatologist office,"[decided to get a skin peel at a dermatologist office, 
call dermatologist's office, 
schedule skin peel appointment, 
wait for skin peel appointment, 
drive to dermatologist's office, 
check in at office, 
wait to be be called by dermatologist, 
walk to dermatologist's treatment room]",schedule skin peel appointment,"call the dermatologist office
schedule an appointment online",[7],"[0, 2]",silver
plant a tomato plant,"[decided to plant a tomato plant, 
go to nursery, 
purchase tomato seedling, 
purchase potting soil and a pot, 
return to home, 
plant seedling in soil and pot]",purchase potting soil and a pot,"buy the soil from a garden center
buy the soil online",[7],"[0, 5]",silver
go back to school,"[decided to go back to school, 
get list of school supplies needed, 
go to store and buy school supplies, 
organize school supplies and books, 
get list of books needed, 
buy books needed, 
pack the backpack]",buy books needed,"buy books from your local bookstore
buy books online",[7],"[0, 5, 10]",silver
know more about film,"[decided to know more about film, 
decide which area of film to learn about, 
research history and topic online, 
go to local library to find books and articles, 
read the research, 
enjoy the newfound respect for film]",read the research,"read the whole research paper
read only the abstract and introduction part of the paper","[4, 7]","[0, 2, 9]",silver
go to an aerospace museum,"[decided to go to an aerospace museum, 
search the internet for aerospace museums, 
pick out the closest one, 
find the museum's hours, 
order aerospace museum tickets, 
drive to the museum]",pick out the closest one,"find the closest one by using google maps
ask a friend for advice on which one to go to","[5, 10]","[2, 6, 7]",silver
make a huge sand castle,"[decided to make a huge sand castle, 
pack a shovel and pale, 
get dressed in beach clothes, 
drive to the beach, 
park by the beach, 
walk near the ocean to get damp sand]",park by the beach,"park your car on the street
park your car on the beach","[0, 7]","[3, 4]",silver
join the military,"[decided to join the military, 
look up enrollment centers, 
drive to enrollment center, 
fill out entry paperwork, 
get military physical, 
show up for training]",look up enrollment centers,"call the local government for enrollment centers
look up online",[7],"[0, 5]",silver
see the banana plantations,"[decided to see the banana plantations, 
turn on the computer, 
search the internet for nearby plantations, 
find the operating hours, 
schedule an appointment, 
drive to the location]",schedule an appointment,"book a tour online
book a tour at a travel agency","[5, 6]",[0],silver
get an oil change,"[decided to get an oil change, 
make an appointment with a mechanic, 
drive to the mechanic, 
give the car to the mechanic, 
take a seat in the waiting room, 
pay for an oil change]",make an appointment with a mechanic,"call a mechanic and make an appointment
find a mechanic on yelp and make reservation in app",[7],"[0, 5]",silver
learn how to practice ballet,"[decided to learn how to practice ballet, 
sign up for a ballet class, 
head to the ballet class, 
learn ballet moves from the instructor, 
work on the ballet moves at home, 
practice moves each day until next class]",work on the ballet moves at home,"work on the ballet moves at home with a friend
work on the ballet moves at home (alone)","[6, 7]",[10],silver
learn how to sew,"[decided to learn how to sew, 
decide to learn how to sew, 
research sewing online, 
make a list of equipment needed, 
got to fabric store, 
buy sewing equipment at fabric store, 
drive home from fabric store, 
put sewing equipment on table]",buy sewing equipment at fabric store,"buy the sewing machine and accessories at a fabric store
buy the sewing machine and accessories online and get it deliver to you",[7],"[0, 5]",silver
